Order ID,Product Name,Discount,Sales,Quantity,Category
IT-2011-3647632,"Enermax Note Cards, Premium",0.5,45.00,3,Office Supplies
ES-2011-4869686,"Dania Corner Shelving, Traditional",0,854.00,7,Furniture
ES-2011-4939443,"Binney & Smith Sketch Pad, Easy-Erase",0,140.00,3,Office Supplies
IT-2011-2942451,"Boston Markers, Easy-Erase",0.5,27.00,2,Office Supplies
IT-2011-2942451,"Eldon Folders, Single Width",0.5,17.00,2,Office Supplies
ES-2011-3848439,"Binney & Smith Pencil Sharpener, Water Color",0,90.00,3,Office Supplies
ES-2011-3848439,"Sanford Canvas, Fluorescent",0,207.00,4,Office Supplies
ES-2011-5433855,"Bush Floating Shelf Set, Pine",0.1,155.00,1,Furniture
ES-2011-5433855,"Accos Thumb Tacks, Assorted Sizes",0,33.00,3,Office Supplies
ES-2011-5433855,"Smead Lockers, Industrial",0.1,716.00,4,Office Supplies
IT-2011-4546695,"Ikea Classic Bookcase, Metal",0.6,987.00,6,Furniture
IT-2011-4546695,"Binney & Smith Sketch Pad, Blue",0.5,116.00,5,Office Supplies
ES-2011-5158390,"SAFCO Executive Leather Armchair, Red",0,1384.00,3,Furniture
ES-2011-5158390,"Binney & Smith Canvas, Blue",0,103.00,2,Office Supplies
ES-2011-4359424,"Bevis Training Table, with Bottom Storage",0.6,268.00,2,Furniture
ES-2011-1466305,"Boston Canvas, Fluorescent",0,55.00,1,Office Supplies
ES-2011-1466305,"Smead Trays, Single Width",0,97.00,2,Office Supplies
ES-2011-4359424,"Novimex File Folder Labels, Alphabetical",0,40.00,5,Office Supplies
ES-2011-1138719,"Ibico Hole Reinforcements, Recycled",0,22.00,3,Office Supplies
ES-2011-5040255,"Green Bar Note Cards, Multicolor",0.5,34.00,2,Office Supplies
ES-2011-4976144,"Hon Chairmat, Adjustable",0,290.00,5,Furniture
ES-2011-1460199,"Ikea Stackable Bookrack, Traditional",0.1,552.00,5,Furniture
ES-2011-1460199,"Binney & Smith Canvas, Blue",0,257.00,5,Office Supplies
ES-2011-1460199,"Ibico Index Tab, Clear",0,17.00,2,Office Supplies
ES-2011-1460199,"Epson Printer, White",0,522.00,2,Technology
IT-2011-5340302,"Wilson Jones Hole Reinforcements, Durable",0.5,9.00,3,Office Supplies
IT-2011-5340302,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,22.00,4,Office Supplies
IT-2011-5340302,"Green Bar Cards & Envelopes, Multicolor",0.5,50.00,2,Office Supplies
IT-2011-5340302,"Smead Lockers, Blue",0.5,198.00,2,Office Supplies
IT-2011-5951216,"Sanford Pens, Fluorescent",0.5,31.00,5,Office Supplies
ES-2011-1043483,"Xerox Message Books, Premium",0,224.00,11,Office Supplies
ES-2011-1043483,"StarTech Card Printer, White",0,486.00,3,Technology
ES-2011-1043483,"Apple Headset, with Caller ID",0,440.00,6,Technology
ES-2011-3661686,"Cuisinart Microwave, White",0.1,249.00,1,Office Supplies
ES-2011-3661686,"Harbour Creations Removable Labels, 5000 Label Set",0,21.00,2,Office Supplies
ES-2011-3661686,"Green Bar Computer Printout Paper, 8.5 x 11",0,170.00,5,Office Supplies
ES-2011-3661686,"Elite Letter Opener, Easy Grip",0,55.00,2,Office Supplies
ES-2011-3661686,"Hewlett Copy Machine, Laser",0,527.00,2,Technology
IT-2011-1373680,"Hon Shipping Labels, Laser Printer Compatible",0.5,17.00,3,Office Supplies
ES-2011-4174897,"Stockwell Thumb Tacks, Bulk Pack",0,108.00,8,Office Supplies
ES-2011-4825230,"Acco Binding Machine, Economy",0.5,26.00,1,Office Supplies
ES-2011-3666932,"Wilson Jones Binding Machine, Clear",0,145.00,3,Office Supplies
ES-2011-3666932,"Fellowes Folders, Blue",0.4,48.00,3,Office Supplies
ES-2011-1690587,"GlobeWeis Business Envelopes, Recycled",0,48.00,3,Office Supplies
ES-2011-1122594,"Boston Pencil Sharpener, Water Color",0,58.00,2,Office Supplies
ES-2011-3229667,"Memorex Router, Programmable",0,495.00,2,Technology
ES-2011-5497239,"Bush Classic Bookcase, Traditional",0,825.00,2,Furniture
ES-2011-3906248,"Avery Index Tab, Clear",0,12.00,2,Office Supplies
ES-2011-3906248,"Tenex File Cart, Blue",0,666.00,5,Office Supplies
ES-2011-5497239,"Boston Canvas, Easy-Erase",0,54.00,1,Office Supplies
ES-2011-5497239,"Rogers Lockers, Single Width",0.4,889.00,7,Office Supplies
IT-2011-2413417,"Harbour Creations Swivel Stool, Set of Two",0.6,73.00,1,Furniture
IT-2011-2413417,"Office Star Bag Chairs, Set of Two",0.6,69.00,3,Furniture
IT-2011-2413417,"Advantus Staples, 12 Pack",0,41.00,4,Office Supplies
IT-2011-2413417,"Harbour Creations Color Coded Labels, Adjustable",0,54.00,5,Office Supplies
IT-2011-2413417,"SanDisk Memo Slips, Multicolor",0,55.00,3,Office Supplies
ES-2011-5158376,"Boston Markers, Fluorescent",0,28.00,1,Office Supplies
ES-2011-4880899,"Stanley Markers, Water Color",0,178.00,7,Office Supplies
ES-2011-3746760,"Advantus Light Bulb, Duo Pack",0,20.00,1,Furniture
ES-2011-3746760,"Cardinal Binder, Clear",0,133.00,10,Office Supplies
ES-2011-3940520,"Acco Binder Covers, Clear",0,13.00,1,Office Supplies
ES-2011-3940520,"Avery Binder, Economy",0,52.00,4,Office Supplies
ES-2011-3429709,"Smead Removable Labels, 5000 Label Set",0,32.00,3,Office Supplies
ES-2011-3940520,"Memorex Flash Drive, Bluetooth",0,88.00,3,Technology
IT-2011-4233239,"Hewlett Wireless Fax, Laser",0.5,570.00,3,Technology
IT-2011-4728742,"Rogers Folders, Single Width",0.1,28.00,1,Office Supplies
ES-2011-5460465,"Sanford Pencil Sharpener, Water Color",0,78.00,3,Office Supplies
ES-2011-2205486,"Acco Hole Reinforcements, Recycled",0,21.00,3,Office Supplies
ES-2011-2205486,"Avery Hole Reinforcements, Durable",0,12.00,2,Office Supplies
IT-2011-4488946,"Fellowes File Cart, Industrial",0.1,248.00,2,Office Supplies
IT-2011-4488946,"Brother Wireless Fax, Laser",0,379.00,1,Technology
ES-2011-2734651,"Boston Highlighters, Water Color",0,44.00,2,Office Supplies
ES-2011-3642330,"Cisco Headset, Full Size",0.1,162.00,2,Technology
ES-2011-1640672,"Xerox Note Cards, Premium",0.5,13.00,1,Office Supplies
ES-2011-1640672,"HP Fax and Copier, Digital",0.5,86.00,1,Technology
ES-2011-1640672,"Motorola Signal Booster, Cordless",0.5,584.00,8,Technology
IT-2011-1877466,"SanDisk Memo Slips, Multicolor",0.5,46.00,5,Office Supplies
ES-2011-2511634,"Acme Box Cutter, High Speed",0,38.00,1,Office Supplies
